id,sentiment140_score,sentiwordnet_score,created_at,favorite_count,hashtag_count,nouns_count,numerical_count,punctuation_count,retweets_count,uppercase_count,url_count,user_mentions_count,wiki_entities_count,word_count,url_in_newser,url_in_newser100
588952525648236544,4,0,Fri Apr 17 06:29:58 +0000 2015,2,0,1,0,0,7,11,0,5,6,16,0,0
597822920585510913,2,0,Mon May 11 17:57:45 +0000 2015,0,0,1,0,0,0,23,0,1,2,6,0,0
596885274807926785,2,0,Sat May 09 03:51:53 +0000 2015,0,0,3,0,1,0,10,1,0,3,15,0,0
590992953105063936,2,0,Wed Apr 22 21:37:54 +0000 2015,0,0,3,0,1,0,17,1,0,6,17,0,0
590992953105063936,2,0,Wed Apr 22 21:37:54 +0000 2015,0,0,3,0,1,0,17,1,0,6,17,0,0
594044812820492289,2,0,Fri May 01 07:44:54 +0000 2015,0,3,0,0,1,1,31,1,1,4,19,0,0
594044812820492289,2,0,Fri May 01 07:44:54 +0000 2015,0,3,0,0,1,1,31,1,1,4,19,0,0
594044812820492289,2,0,Fri May 01 07:44:54 +0000 2015,0,3,0,0,1,1,31,1,1,4,19,0,0
594044812820492289,2,0,Fri May 01 07:44:54 +0000 2015,0,3,0,0,1,1,31,1,1,4,19,0,0
594044812820492289,2,0,Fri May 01 07:44:54 +0000 2015,0,3,0,0,1,1,31,1,1,4,19,0,0
590331486445899776,2,0,Tue Apr 21 01:49:28 +0000 2015,5,1,1,0,0,8,10,1,1,5,18,1,1
590331486445899776,2,0,Tue Apr 21 01:49:28 +0000 2015,5,1,1,0,0,8,10,1,1,5,18,1,1
590331486445899776,2,0,Tue Apr 21 01:49:28 +0000 2015,5,1,1,0,0,8,10,1,1,5,18,1,1
590331486445899776,2,0,Tue Apr 21 01:49:28 +0000 2015,5,1,1,0,0,8,10,1,1,5,18,1,1
590331486445899776,2,0,Tue Apr 21 01:49:28 +0000 2015,5,1,1,0,0,8,10,1,1,5,18,1,1
590331486445899776,2,0,Tue Apr 21 01:49:28 +0000 2015,5,1,1,0,0,8,10,1,1,5,18,1,1
601160510495592448,2,0,Wed May 20 23:00:09 +0000 2015,1,4,2,0,0,5,12,1,1,8,14,1,0
601160510495592448,2,0,Wed May 20 23:00:09 +0000 2015,1,4,2,0,0,5,12,1,1,8,14,1,0
601160510495592448,2,0,Wed May 20 23:00:09 +0000 2015,1,4,2,0,0,5,12,1,1,8,14,1,0
601160510495592448,2,0,Wed May 20 23:00:09 +0000 2015,1,4,2,0,0,5,12,1,1,8,14,1,0
601160510495592448,2,0,Wed May 20 23:00:09 +0000 2015,1,4,2,0,0,5,12,1,1,8,14,1,0
600895553686245378,2,1.0,Wed May 20 05:27:18 +0000 2015,0,0,2,0,4,0,11,1,0,8,18,0,0
600895553686245378,2,1.0,Wed May 20 05:27:18 +0000 2015,0,0,2,0,4,0,11,1,0,8,18,0,0
600895553686245378,2,1.0,Wed May 20 05:27:18 +0000 2015,0,0,2,0,4,0,11,1,0,8,18,0,0
600895553686245378,2,1.0,Wed May 20 05:27:18 +0000 2015,0,0,2,0,4,0,11,1,0,8,18,0,0
609697577517363200,2,0,Sat Jun 13 12:23:24 +0000 2015,0,0,2,0,0,1,19,1,0,5,14,0,0
609697577517363200,2,0,Sat Jun 13 12:23:24 +0000 2015,0,0,2,0,0,1,19,1,0,5,14,0,0
609697577517363200,2,0,Sat Jun 13 12:23:24 +0000 2015,0,0,2,0,0,1,19,1,0,5,14,0,0
609697577517363200,2,0,Sat Jun 13 12:23:24 +0000 2015,0,0,2,0,0,1,19,1,0,5,14,0,0
